seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
UMa -0.53591 0.83276 -0.13899 2.34 -0.59187 0.80588 -0.01594 2.41
UMa -0.59187 0.80588 -0.01594 2.41 -0.54293 0.83899 0.0366 3.32
UMa -0.59187 0.80588 -0.01594 2.41 -0.67074 0.74057 -0.04087 3.69
UMa -0.67074 0.74057 -0.04087 3.69 -0.69613 0.7009 -0.15539 3
UMa -0.69613 0.7009 -0.15539 3 -0.65978 0.68091 -0.31789 3.45
UMa -0.69613 0.7009 -0.15539 3 -0.68197 0.66262 -0.3096 3.06
UMa -0.53591 0.83276 -0.13899 2.34 -0.49784 0.80968 -0.31076 4.55
UMa -0.49784 0.80968 -0.31076 4.55 -0.49662 0.78455 -0.37128 3.17
UMa -0.49662 0.78455 -0.37128 3.17 -0.48837 0.73322 -0.47316 3.57
UMa -0.49662 0.78455 -0.37128 3.17 -0.47113 0.74364 -0.47437 3.12
UMa -0.49784 0.80968 -0.31076 4.55 -0.43508 0.85752 -0.27452 3.78
UMa -0.43508 0.85752 -0.27452 3.78 -0.29819 0.87223 -0.38768 3.35
UMa -0.29819 0.87223 -0.38768 3.35 -0.36124 0.8915 -0.27338 3.65
UMa -0.36124 0.8915 -0.27338 3.65 -0.4591 0.8809 -0.11504 1.81
UMi 0.01013 0.99992 -0.00789 1.97 -0.0072 0.99823 0.05911 4.35
UMi -0.0072 0.99823 0.05911 4.35 -0.04397 0.99036 0.13137 4.21
UMi -0.04397 0.99036 0.13137 4.21 -0.11817 0.9774 0.17531 4.29
UMi -0.11817 0.9774 0.17531 4.29 -0.10641 0.96926 0.22188 4.95
UMi -0.10641 0.96926 0.22188 4.95 -0.19964 0.95016 0.23947 3
UMi -0.19964 0.95016 0.23947 3 -0.20072 0.96201 0.18508 2.07
UMi -0.20072 0.96201 0.18508 2.07 -0.11817 0.9774 0.17531 4.29
Vel -0.36295 -0.73534 -0.57229 1.75 -0.38812 -0.79781 -0.46135 3.6
Vel -0.38812 -0.79781 -0.46135 3.6 -0.38036 -0.81622 -0.43485 1.93
Vel -0.38036 -0.81622 -0.43485 1.93 -0.44264 -0.81925 -0.36452 2.47
Vel -0.44264 -0.81925 -0.36452 2.47 -0.49805 -0.8148 -0.29671 3.52
Vel -0.49805 -0.8148 -0.29671 3.52 -0.61758 -0.75949 -0.20433 2.69
Vel -0.61758 -0.75949 -0.20433 2.69 -0.62329 -0.74577 -0.2352 3.84
Vel -0.62329 -0.74577 -0.2352 3.84 -0.66485 -0.67071 -0.32881 3.85
Vel -0.66485 -0.67071 -0.32881 3.85 -0.60498 -0.649 -0.46128 3.6
Vel -0.60498 -0.649 -0.46128 3.6 -0.53108 -0.6875 -0.49526 2.23
Vel -0.53108 -0.6875 -0.49526 2.23 -0.36295 -0.73534 -0.57229 1.75
Vir -0.99162 0.11373 -0.06126 4.04 -0.99658 -0.01373 0.08138 5.9
Vir -0.99658 -0.01373 0.08138 5.9 -0.9832 -0.02529 0.18075 2.74
Vir -0.9832 -0.02529 0.18075 2.74 -0.91407 -0.19357 0.35636 0.98
Vir -0.91407 -0.19357 0.35636 0.98 -0.82312 -0.17835 0.53913 4.18
Vir -0.82312 -0.17835 0.53913 4.18 -0.82446 -0.10452 0.55619 4.071
Vir -0.82446 -0.10452 0.55619 4.071 -0.7537 -0.09858 0.64978 3.87
Vir -0.91407 -0.19357 0.35636 0.98 -0.91579 -0.0104 0.40151 3.38
Vir -0.91579 -0.0104 0.40151 3.38 -0.86209 0.02696 0.50603 4.23
Vir -0.86209 0.02696 0.50603 4.23 -0.74782 0.03304 0.66308 3.73
Vir -0.91579 -0.0104 0.40151 3.38 -0.969 0.05927 0.23984 3.39
Vir -0.969 0.05927 0.23984 3.39 -0.94585 0.19011 0.26311 2.85
Vir -0.969 0.05927 0.23984 3.39 -0.9832 -0.02529 0.18075 2.74
Vol -0.12848 -0.95427 -0.26991 3.93 -0.09863 -0.94263 -0.31891 3.78
Vol -0.09863 -0.94263 -0.31891 3.78 -0.19311 -0.93116 -0.30925 4.35
Vol -0.19311 -0.93116 -0.30925 4.35 -0.12848 -0.95427 -0.26991 3.93
Vol -0.19311 -0.93116 -0.30925 4.35 -0.12347 -0.9269 -0.3544 3.97
Vol -0.19311 -0.93116 -0.30925 4.35 -0.24026 -0.91451 -0.32548 3.77
Vol -0.24026 -0.91451 -0.32548 3.77 -0.28614 -0.91633 -0.28009 4
Vol -0.28614 -0.91633 -0.28009 4 -0.19311 -0.93116 -0.30925 4.35
Vul 0.34303 0.41732 0.84154 4.44 0.44616 0.46567 0.76427 4.66
